player,team,MIN,PTS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
Duke #0,Opponents,1:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke #1,Opponents,1:01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Duke #12,Opponents,1:01,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
Duke #3,Opponents,1:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke #5,Opponents,1:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas #1,Our Team,1:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas #10,Our Team,1:01,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas #11,Our Team,1:01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas #24,Our Team,1:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kansas #3,Our Team,1:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
